origem,destino
REC,SSA
REC,FOR
REC,NAT
REC,JPA
REC,GRU
REC,CGH
REC,GIG
REC,CNF
REC,VIX
REC,BSB
REC,GYN
REC,CWB
REC,FLN
REC,POA
REC,MAO
REC,BEL
REC,PVH
REC,RBR
REC,THE
SSA,REC
SSA,FOR
SSA,NAT
SSA,JPA
SSA,GRU
SSA,CGH
SSA,GIG
SSA,CNF
SSA,VIX
SSA,BSB
SSA,GYN
SSA,CWB
SSA,FLN
SSA,POA
SSA,MAO
SSA,BEL
SSA,PVH
SSA,RBR
SSA,THE
FOR,REC
FOR,SSA
FOR,NAT
FOR,JPA
FOR,GRU
FOR,CGH
FOR,GIG
FOR,CNF
FOR,VIX
FOR,BSB
FOR,GYN
FOR,CWB
FOR,FLN
FOR,POA
FOR,MAO
FOR,BEL
FOR,PVH
FOR,RBR
FOR,THE
NAT,REC
NAT,SSA
NAT,FOR
NAT,JPA
NAT,GRU
NAT,CGH
NAT,GIG
NAT,CNF
NAT,VIX
NAT,BSB
NAT,GYN
NAT,CWB
NAT,FLN
NAT,POA
NAT,MAO
NAT,BEL
NAT,PVH
NAT,RBR
NAT,THE
JPA,REC
JPA,SSA
JPA,FOR
JPA,NAT
JPA,GRU
JPA,CGH
JPA,GIG
JPA,CNF
JPA,VIX
JPA,BSB
JPA,GYN
JPA,CWB
JPA,FLN
JPA,POA
JPA,MAO
JPA,BEL
JPA,PVH
JPA,RBR
JPA,THE
GRU,REC
GRU,SSA
GRU,FOR
GRU,NAT
GRU,JPA
GRU,CGH
GRU,GIG
GRU,CNF
GRU,VIX
GRU,BSB
GRU,GYN
GRU,CWB
GRU,FLN
GRU,POA
GRU,MAO
GRU,BEL
GRU,PVH
GRU,RBR
GRU,THE
CGH,REC
CGH,SSA
CGH,FOR
CGH,NAT
CGH,JPA
CGH,GRU
CGH,GIG
CGH,CNF
CGH,VIX
CGH,BSB
CGH,GYN
CGH,CWB
CGH,FLN
CGH,POA
CGH,MAO
CGH,BEL
CGH,PVH
CGH,RBR
CGH,THE
GIG,REC
GIG,SSA
GIG,FOR
GIG,NAT
GIG,JPA
GIG,GRU
GIG,CGH
GIG,CNF
GIG,VIX
GIG,BSB
GIG,GYN
GIG,CWB
GIG,FLN
GIG,POA
GIG,MAO
GIG,BEL
GIG,PVH
GIG,RBR
GIG,THE
CNF,REC
CNF,SSA
CNF,FOR
CNF,NAT
CNF,JPA
CNF,GRU
CNF,CGH
CNF,GIG
CNF,VIX
CNF,BSB
CNF,GYN
CNF,CWB
CNF,FLN
CNF,POA
CNF,MAO
CNF,BEL
CNF,PVH
CNF,RBR
CNF,THE
VIX,REC
VIX,SSA
VIX,FOR
VIX,NAT
VIX,JPA
VIX,GRU
VIX,CGH
VIX,GIG
VIX,CNF
VIX,BSB
VIX,GYN
VIX,CWB
VIX,FLN
VIX,POA
VIX,MAO
VIX,BEL
VIX,PVH
VIX,RBR
VIX,THE
BSB,REC
BSB,SSA
BSB,FOR
BSB,NAT
BSB,JPA
BSB,GRU
BSB,CGH
BSB,GIG
BSB,CNF
BSB,VIX
BSB,GYN
BSB,CWB
BSB,FLN
BSB,POA
BSB,MAO
BSB,BEL
BSB,PVH
BSB,RBR
BSB,THE
GYN,REC
GYN,SSA
GYN,FOR
GYN,NAT
GYN,JPA
GYN,GRU
GYN,CGH
GYN,GIG
GYN,CNF
GYN,VIX
GYN,BSB
GYN,CWB
GYN,FLN
GYN,POA
GYN,MAO
GYN,BEL
GYN,PVH
GYN,RBR
GYN,THE
CWB,REC
CWB,SSA
CWB,FOR
CWB,NAT
CWB,JPA
CWB,GRU
CWB,CGH
CWB,GIG
CWB,CNF
CWB,VIX
CWB,BSB
CWB,GYN
CWB,FLN
CWB,POA
CWB,MAO
CWB,BEL
CWB,PVH
CWB,RBR
CWB,THE
FLN,REC
FLN,SSA
FLN,FOR
FLN,NAT
FLN,JPA
FLN,GRU
FLN,CGH
FLN,GIG
FLN,CNF
FLN,VIX
FLN,BSB
FLN,GYN
FLN,CWB
FLN,POA
FLN,MAO
FLN,BEL
FLN,PVH
FLN,RBR
FLN,THE
POA,REC
POA,SSA
POA,FOR
POA,NAT
POA,JPA
POA,GRU
POA,CGH
POA,GIG
POA,CNF
POA,VIX
POA,BSB
POA,GYN
POA,CWB
POA,FLN
POA,MAO
POA,BEL
POA,PVH
POA,RBR
POA,THE
MAO,REC
MAO,SSA
MAO,FOR
MAO,NAT
MAO,JPA
MAO,GRU
MAO,CGH
MAO,GIG
MAO,CNF
MAO,VIX
MAO,BSB
MAO,GYN
MAO,CWB
MAO,FLN
MAO,POA
MAO,BEL
MAO,PVH
MAO,RBR
MAO,THE
BEL,REC
BEL,SSA
BEL,FOR
BEL,NAT
BEL,JPA
BEL,GRU
BEL,CGH
BEL,GIG
BEL,CNF
BEL,VIX
BEL,BSB
BEL,GYN
BEL,CWB
BEL,FLN
BEL,POA
BEL,MAO
BEL,PVH
BEL,RBR
BEL,THE
PVH,REC
PVH,SSA
PVH,FOR
PVH,NAT
PVH,JPA
PVH,GRU
PVH,CGH
PVH,GIG
PVH,CNF
PVH,VIX
PVH,BSB
PVH,GYN
PVH,CWB
PVH,FLN
PVH,POA
PVH,MAO
PVH,BEL
PVH,RBR
PVH,THE
RBR,REC
RBR,SSA
RBR,FOR
RBR,NAT
RBR,JPA
RBR,GRU
RBR,CGH
RBR,GIG
RBR,CNF
RBR,VIX
RBR,BSB
RBR,GYN
RBR,CWB
RBR,FLN
RBR,POA
RBR,MAO
RBR,BEL
RBR,PVH
RBR,THE
THE,REC
THE,SSA
THE,FOR
THE,NAT
THE,JPA
THE,GRU
THE,CGH
THE,GIG
THE,CNF
THE,VIX
THE,BSB
THE,GYN
THE,CWB
THE,FLN
THE,POA
THE,MAO
THE,BEL
THE,PVH
THE,RBR
